setting,example_id,question_type,level,question,gold_titles,k,dense_full_at_k,rerank_full_at_k,dense_gold_ranks,rerank_gold_ranks,transition
pooled,5a717d4c5542994082a3e854,comparison,hard,"Who has written more than 300 papers, Semyon Aranovich Gershgorin or Pavel Alexandrov?",Pavel Alexandrov | Semyon Aranovich Gershgorin,10,1,1,"{""Pavel Alexandrov"":1,""Semyon Aranovich Gershgorin"":2}","{""Pavel Alexandrov"":1,""Semyon Aranovich Gershgorin"":2}",stable_hit
pooled,5a722b8655429971e9dc9329,bridge,hard,Who was the writer of These Boots Are Made for Walkin' and who died in 2007?,Lee Hazlewood | These Boots Are Made for Walkin',2,0,0,"{""Lee Hazlewood"":null,""These Boots Are Made for Walkin'"":1}","{""Lee Hazlewood"":null,""These Boots Are Made for Walkin'"":1}",stable_miss
pooled,5a722b8655429971e9dc9329,bridge,hard,Who was the writer of These Boots Are Made for Walkin' and who died in 2007?,Lee Hazlewood | These Boots Are Made for Walkin',5,0,0,"{""Lee Hazlewood"":null,""These Boots Are Made for Walkin'"":1}","{""Lee Hazlewood"":null,""These Boots Are Made for Walkin'"":1}",stable_miss
pooled,5a722b8655429971e9dc9329,bridge,hard,Who was the writer of These Boots Are Made for Walkin' and who died in 2007?,Lee Hazlewood | These Boots Are Made for Walkin',10,0,0,"{""Lee Hazlewood"":null,""These Boots Are Made for Walkin'"":1}","{""Lee Hazlewood"":null,""These Boots Are Made for Walkin'"":1}",stable_miss
pooled,5a7252db5542990c210a4104,bridge,hard,What is the name of the oldest child that attended the Trump campaign-Russian meeting?,Donald Trump Jr. | Trump campaign–Russian meeting,2,1,1,"{""Donald Trump Jr."":2,""Trump campaign–Russian meeting"":1}","{""Donald Trump Jr."":1,""Trump campaign–Russian meeting"":2}",stable_hit
pooled,5a7252db5542990c210a4104,bridge,hard,What is the name of the oldest child that attended the Trump campaign-Russian meeting?,Donald Trump Jr. | Trump campaign–Russian meeting,5,1,1,"{""Donald Trump Jr."":2,""Trump campaign–Russian meeting"":1}","{""Donald Trump Jr."":1,""Trump campaign–Russian meeting"":2}",stable_hit
pooled,5a7252db5542990c210a4104,bridge,hard,What is the name of the oldest child that attended the Trump campaign-Russian meeting?,Donald Trump Jr. | Trump campaign–Russian meeting,10,1,1,"{""Donald Trump Jr."":2,""Trump campaign–Russian meeting"":1}","{""Donald Trump Jr."":1,""Trump campaign–Russian meeting"":2}",stable_hit
pooled,5a729e7b5542992359bc313d,bridge,hard,"Which river system in Chilhowie, Virginia was the starting place for most Longhunters?",Holston River | Longhunter,2,0,1,"{""Holston River"":36,""Longhunter"":1}","{""Holston River"":2,""Longhunter"":1}",rescue
pooled,5a729e7b5542992359bc313d,bridge,hard,"Which river system in Chilhowie, Virginia was the starting place for most Longhunters?",Holston River | Longhunter,5,0,1,"{""Holston River"":36,""Longhunter"":1}","{""Holston River"":2,""Longhunter"":1}",rescue
pooled,5a729e7b5542992359bc313d,bridge,hard,"Which river system in Chilhowie, Virginia was the starting place for most Longhunters?",Holston River | Longhunter,10,0,1,"{""Holston River"":36,""Longhunter"":1}","{""Holston River"":2,""Longhunter"":1}",rescue
pooled,5a72a0be5542992359bc3143,bridge,hard,"This work of literature _______ , known by its Greek title Oedipus Tyrannus was argued by Sigmund Freud to be one of the greatest works of world literature in his 1928 article. ",Dostoevsky and Parricide | Oedipus Rex,2,0,1,"{""Dostoevsky and Parricide"":5,""Oedipus Rex"":1}","{""Dostoevsky and Parricide"":2,""Oedipus Rex"":1}",rescue
pooled,5a72a0be5542992359bc3143,bridge,hard,"This work of literature _______ , known by its Greek title Oedipus Tyrannus was argued by Sigmund Freud to be one of the greatest works of world literature in his 1928 article. ",Dostoevsky and Parricide | Oedipus Rex,5,1,1,"{""Dostoevsky and Parricide"":5,""Oedipus Rex"":1}","{""Dostoevsky and Parricide"":2,""Oedipus Rex"":1}",stable_hit
pooled,5a72a0be5542992359bc3143,bridge,hard,"This work of literature _______ , known by its Greek title Oedipus Tyrannus was argued by Sigmund Freud to be one of the greatest works of world literature in his 1928 article. ",Dostoevsky and Parricide | Oedipus Rex,10,1,1,"{""Dostoevsky and Parricide"":5,""Oedipus Rex"":1}","{""Dostoevsky and Parricide"":2,""Oedipus Rex"":1}",stable_hit
pooled,5a72c6f65542994cef4bc402,bridge,hard,Wheat salad is composed typically of what red fruit?,Tomato | Wheat salad,2,0,0,"{""Tomato"":7,""Wheat salad"":1}","{""Tomato"":8,""Wheat salad"":1}",stable_miss
pooled,5a72c6f65542994cef4bc402,bridge,hard,Wheat salad is composed typically of what red fruit?,Tomato | Wheat salad,5,0,0,"{""Tomato"":7,""Wheat salad"":1}","{""Tomato"":8,""Wheat salad"":1}",stable_miss
pooled,5a72c6f65542994cef4bc402,bridge,hard,Wheat salad is composed typically of what red fruit?,Tomato | Wheat salad,10,1,1,"{""Tomato"":7,""Wheat salad"":1}","{""Tomato"":8,""Wheat salad"":1}",stable_hit
pooled,5a7320565542991f9a20c61d,bridge,hard,who is younger Keith Bostic or Jerry Glanville ?,Jerry Glanville | Keith Bostic (American football),2,0,0,"{""Jerry Glanville"":5,""Keith Bostic (American football)"":1}","{""Jerry Glanville"":3,""Keith Bostic (American football)"":1}",stable_miss
pooled,5a7320565542991f9a20c61d,bridge,hard,who is younger Keith Bostic or Jerry Glanville ?,Jerry Glanville | Keith Bostic (American football),5,1,1,"{""Jerry Glanville"":5,""Keith Bostic (American football)"":1}","{""Jerry Glanville"":3,""Keith Bostic (American football)"":1}",stable_hit
pooled,5a7320565542991f9a20c61d,bridge,hard,who is younger Keith Bostic or Jerry Glanville ?,Jerry Glanville | Keith Bostic (American football),10,1,1,"{""Jerry Glanville"":5,""Keith Bostic (American football)"":1}","{""Jerry Glanville"":3,""Keith Bostic (American football)"":1}",stable_hit
pooled,5a7332935542991f9a20c67d,comparison,hard,"Which board game was published most recently, Pirate's Cove or Catan?",Catan | Pirate's Cove,2,0,1,"{""Catan"":4,""Pirate's Cove"":1}","{""Catan"":2,""Pirate's Cove"":1}",rescue
pooled,5a7332935542991f9a20c67d,comparison,hard,"Which board game was published most recently, Pirate's Cove or Catan?",Catan | Pirate's Cove,5,1,1,"{""Catan"":4,""Pirate's Cove"":1}","{""Catan"":2,""Pirate's Cove"":1}",stable_hit
pooled,5a7332935542991f9a20c67d,comparison,hard,"Which board game was published most recently, Pirate's Cove or Catan?",Catan | Pirate's Cove,10,1,1,"{""Catan"":4,""Pirate's Cove"":1}","{""Catan"":2,""Pirate's Cove"":1}",stable_hit
pooled,5a738225554299623ed4abc3,comparison,hard,"Which musical fantasy film is older, Bedknobs and Broomsticks or The Muppet Christmas Carol?",Bedknobs and Broomsticks | The Muppet Christmas Carol,2,0,1,"{""Bedknobs and Broomsticks"":3,""The Muppet Christmas Carol"":1}","{""Bedknobs and Broomsticks"":1,""The Muppet Christmas Carol"":2}",rescue
pooled,5a738225554299623ed4abc3,comparison,hard,"Which musical fantasy film is older, Bedknobs and Broomsticks or The Muppet Christmas Carol?",Bedknobs and Broomsticks | The Muppet Christmas Carol,5,1,1,"{""Bedknobs and Broomsticks"":3,""The Muppet Christmas Carol"":1}","{""Bedknobs and Broomsticks"":1,""The Muppet Christmas Carol"":2}",stable_hit
pooled,5a738225554299623ed4abc3,comparison,hard,"Which musical fantasy film is older, Bedknobs and Broomsticks or The Muppet Christmas Carol?",Bedknobs and Broomsticks | The Muppet Christmas Carol,10,1,1,"{""Bedknobs and Broomsticks"":3,""The Muppet Christmas Carol"":1}","{""Bedknobs and Broomsticks"":1,""The Muppet Christmas Carol"":2}",stable_hit
pooled,5a738d27554299623ed4abf3,bridge,hard,"Who was born first, Erika Jayne or Marco Da Silva",Erika Jayne | Marco Da Silva (dancer),2,0,1,"{""Erika Jayne"":1,""Marco Da Silva (dancer)"":12}","{""Erika Jayne"":2,""Marco Da Silva (dancer)"":1}",rescue
pooled,5a738d27554299623ed4abf3,bridge,hard,"Who was born first, Erika Jayne or Marco Da Silva",Erika Jayne | Marco Da Silva (dancer),5,0,1,"{""Erika Jayne"":1,""Marco Da Silva (dancer)"":12}","{""Erika Jayne"":2,""Marco Da Silva (dancer)"":1}",rescue
pooled,5a738d27554299623ed4abf3,bridge,hard,"Who was born first, Erika Jayne or Marco Da Silva",Erika Jayne | Marco Da Silva (dancer),10,0,1,"{""Erika Jayne"":1,""Marco Da Silva (dancer)"":12}","{""Erika Jayne"":2,""Marco Da Silva (dancer)"":1}",rescue
pooled,5a738fe855429908901be2fb,bridge,hard,What film was written and directed by Joby Harold with music written by Samuel Sim?,Awake (film) | Samuel Sim,2,0,0,"{""Awake (film)"":null,""Samuel Sim"":1}","{""Awake (film)"":null,""Samuel Sim"":1}",stable_miss
pooled,5a738fe855429908901be2fb,bridge,hard,What film was written and directed by Joby Harold with music written by Samuel Sim?,Awake (film) | Samuel Sim,5,0,0,"{""Awake (film)"":null,""Samuel Sim"":1}","{""Awake (film)"":null,""Samuel Sim"":1}",stable_miss
pooled,5a738fe855429908901be2fb,bridge,hard,What film was written and directed by Joby Harold with music written by Samuel Sim?,Awake (film) | Samuel Sim,10,0,0,"{""Awake (film)"":null,""Samuel Sim"":1}","{""Awake (film)"":null,""Samuel Sim"":1}",stable_miss
pooled,5a73977d554299623ed4ac08,comparison,hard,What is the shared country of ancestry between Art Laboe and Scout Tufankjian?,Art Laboe | Scout Tufankjian,2,1,1,"{""Art Laboe"":2,""Scout Tufankjian"":1}","{""Art Laboe"":2,""Scout Tufankjian"":1}",stable_hit
pooled,5a73977d554299623ed4ac08,comparison,hard,What is the shared country of ancestry between Art Laboe and Scout Tufankjian?,Art Laboe | Scout Tufankjian,5,1,1,"{""Art Laboe"":2,""Scout Tufankjian"":1}","{""Art Laboe"":2,""Scout Tufankjian"":1}",stable_hit
pooled,5a73977d554299623ed4ac08,comparison,hard,What is the shared country of ancestry between Art Laboe and Scout Tufankjian?,Art Laboe | Scout Tufankjian,10,1,1,"{""Art Laboe"":2,""Scout Tufankjian"":1}","{""Art Laboe"":2,""Scout Tufankjian"":1}",stable_hit
pooled,5a73a7c755429978a71e9068,bridge,hard,What american actress/singer born in 1956 recorded the song Something there for beauty and the beast?,Paige O'Hara | Something There,2,1,0,"{""Paige O'Hara"":2,""Something There"":1}","{""Paige O'Hara"":5,""Something There"":1}",damage
pooled,5a73a7c755429978a71e9068,bridge,hard,What american actress/singer born in 1956 recorded the song Something there for beauty and the beast?,Paige O'Hara | Something There,5,1,1,"{""Paige O'Hara"":2,""Something There"":1}","{""Paige O'Hara"":5,""Something There"":1}",stable_hit
pooled,5a73a7c755429978a71e9068,bridge,hard,What american actress/singer born in 1956 recorded the song Something there for beauty and the beast?,Paige O'Hara | Something There,10,1,1,"{""Paige O'Hara"":2,""Something There"":1}","{""Paige O'Hara"":5,""Something There"":1}",stable_hit
pooled,5a74106b55429979e288289e,bridge,hard,Where is the company that Sachin Warrier worked for as a software engineer headquartered? ,Sachin Warrier | Tata Consultancy Services,2,0,0,"{""Sachin Warrier"":2,""Tata Consultancy Services"":null}","{""Sachin Warrier"":1,""Tata Consultancy Services"":null}",stable_miss
pooled,5a74106b55429979e288289e,bridge,hard,Where is the company that Sachin Warrier worked for as a software engineer headquartered? ,Sachin Warrier | Tata Consultancy Services,5,0,0,"{""Sachin Warrier"":2,""Tata Consultancy Services"":null}","{""Sachin Warrier"":1,""Tata Consultancy Services"":null}",stable_miss
pooled,5a74106b55429979e288289e,bridge,hard,Where is the company that Sachin Warrier worked for as a software engineer headquartered? ,Sachin Warrier | Tata Consultancy Services,10,0,0,"{""Sachin Warrier"":2,""Tata Consultancy Services"":null}","{""Sachin Warrier"":1,""Tata Consultancy Services"":null}",stable_miss
pooled,5a74684655429929fddd8410,bridge,hard,"Which American music star appeared as a guest in a Will & Grace episode called ""Back Up, Dancer""?","Back Up, Dancer | Janet Jackson",2,0,0,"{""Back Up, Dancer"":1,""Janet Jackson"":45}","{""Back Up, Dancer"":1,""Janet Jackson"":12}",stable_miss
pooled,5a74684655429929fddd8410,bridge,hard,"Which American music star appeared as a guest in a Will & Grace episode called ""Back Up, Dancer""?","Back Up, Dancer | Janet Jackson",5,0,0,"{""Back Up, Dancer"":1,""Janet Jackson"":45}","{""Back Up, Dancer"":1,""Janet Jackson"":12}",stable_miss
pooled,5a74684655429929fddd8410,bridge,hard,"Which American music star appeared as a guest in a Will & Grace episode called ""Back Up, Dancer""?","Back Up, Dancer | Janet Jackson",10,0,0,"{""Back Up, Dancer"":1,""Janet Jackson"":45}","{""Back Up, Dancer"":1,""Janet Jackson"":12}",stable_miss
pooled,5a74c85055429916b0164218,bridge,hard,"Born on 6 March 1937, this man was also a citizen of the United Kingdom.",Alistair Grant | British people,2,0,0,"{""Alistair Grant"":8,""British people"":3}","{""Alistair Grant"":2,""British people"":9}",stable_miss
pooled,5a74c85055429916b0164218,bridge,hard,"Born on 6 March 1937, this man was also a citizen of the United Kingdom.",Alistair Grant | British people,5,0,0,"{""Alistair Grant"":8,""British people"":3}","{""Alistair Grant"":2,""British people"":9}",stable_miss
pooled,5a74c85055429916b0164218,bridge,hard,"Born on 6 March 1937, this man was also a citizen of the United Kingdom.",Alistair Grant | British people,10,1,1,"{""Alistair Grant"":8,""British people"":3}","{""Alistair Grant"":2,""British people"":9}",stable_hit
pooled,5a74ce9655429974ef308c6c,bridge,hard,"What retailer in ABQ Uptown is headquarted in Poole, Dorset, United Kingdom?",ABQ Uptown | Lush (company),2,0,1,"{""ABQ Uptown"":1,""Lush (company)"":45}","{""ABQ Uptown"":2,""Lush (company)"":1}",rescue
pooled,5a74ce9655429974ef308c6c,bridge,hard,"What retailer in ABQ Uptown is headquarted in Poole, Dorset, United Kingdom?",ABQ Uptown | Lush (company),5,0,1,"{""ABQ Uptown"":1,""Lush (company)"":45}","{""ABQ Uptown"":2,""Lush (company)"":1}",rescue
pooled,5a74ce9655429974ef308c6c,bridge,hard,"What retailer in ABQ Uptown is headquarted in Poole, Dorset, United Kingdom?",ABQ Uptown | Lush (company),10,0,1,"{""ABQ Uptown"":1,""Lush (company)"":45}","{""ABQ Uptown"":2,""Lush (company)"":1}",rescue
pooled,5a7555215542996c70cfaee1,comparison,hard,"Which came to market first, ""Hey Pa! There's a Goat on the Roof"" or ""Poleconomy""",Hey Pa! There's a Goat on the Roof | Poleconomy,2,0,1,"{""Hey Pa! There's a Goat on the Roof"":1,""Poleconomy"":7}","{""Hey Pa! There's a Goat on the Roof"":1,""Poleconomy"":2}",rescue
pooled,5a7555215542996c70cfaee1,comparison,hard,"Which came to market first, ""Hey Pa! There's a Goat on the Roof"" or ""Poleconomy""",Hey Pa! There's a Goat on the Roof | Poleconomy,5,0,1,"{""Hey Pa! There's a Goat on the Roof"":1,""Poleconomy"":7}","{""Hey Pa! There's a Goat on the Roof"":1,""Poleconomy"":2}",rescue
pooled,5a7555215542996c70cfaee1,comparison,hard,"Which came to market first, ""Hey Pa! There's a Goat on the Roof"" or ""Poleconomy""",Hey Pa! There's a Goat on the Roof | Poleconomy,10,1,1,"{""Hey Pa! There's a Goat on the Roof"":1,""Poleconomy"":7}","{""Hey Pa! There's a Goat on the Roof"":1,""Poleconomy"":2}",stable_hit
pooled,5a756fa15542996c70cfaefb,bridge,hard,Július Satinský was born in a city that has a current population of what?,Bratislava | Július Satinský,2,0,0,"{""Bratislava"":37,""Július Satinský"":1}","{""Bratislava"":4,""Július Satinský"":1}",stable_miss
pooled,5a756fa15542996c70cfaefb,bridge,hard,Július Satinský was born in a city that has a current population of what?,Bratislava | Július Satinský,5,0,1,"{""Bratislava"":37,""Július Satinský"":1}","{""Bratislava"":4,""Július Satinský"":1}",rescue
pooled,5a756fa15542996c70cfaefb,bridge,hard,Július Satinský was born in a city that has a current population of what?,Bratislava | Július Satinský,10,0,1,"{""Bratislava"":37,""Július Satinský"":1}","{""Bratislava"":4,""Július Satinský"":1}",rescue
pooled,5a7571135542992d0ec05f98,bridge,hard,Ralph Hefferline was a psychology professor at a university that is located in what city?,Columbia University | Ralph Hefferline,2,0,0,"{""Columbia University"":3,""Ralph Hefferline"":1}","{""Columbia University"":7,""Ralph Hefferline"":1}",stable_miss
pooled,5a7571135542992d0ec05f98,bridge,hard,Ralph Hefferline was a psychology professor at a university that is located in what city?,Columbia University | Ralph Hefferline,5,1,0,"{""Columbia University"":3,""Ralph Hefferline"":1}","{""Columbia University"":7,""Ralph Hefferline"":1}",damage
pooled,5a7571135542992d0ec05f98,bridge,hard,Ralph Hefferline was a psychology professor at a university that is located in what city?,Columbia University | Ralph Hefferline,10,1,1,"{""Columbia University"":3,""Ralph Hefferline"":1}","{""Columbia University"":7,""Ralph Hefferline"":1}",stable_hit
pooled,5a7574e25542996c70cfaf01,comparison,hard,Who was born first Mahbub ul Haq or Ibn Arabi?,Ibn Arabi | Mahbub ul Haq,2,0,0,"{""Ibn Arabi"":4,""Mahbub ul Haq"":1}","{""Ibn Arabi"":8,""Mahbub ul Haq"":1}",stable_miss
pooled,5a7574e25542996c70cfaf01,comparison,hard,Who was born first Mahbub ul Haq or Ibn Arabi?,Ibn Arabi | Mahbub ul Haq,5,1,0,"{""Ibn Arabi"":4,""Mahbub ul Haq"":1}","{""Ibn Arabi"":8,""Mahbub ul Haq"":1}",damage
pooled,5a7574e25542996c70cfaf01,comparison,hard,Who was born first Mahbub ul Haq or Ibn Arabi?,Ibn Arabi | Mahbub ul Haq,10,1,1,"{""Ibn Arabi"":4,""Mahbub ul Haq"":1}","{""Ibn Arabi"":8,""Mahbub ul Haq"":1}",stable_hit
pooled,5a75e05c55429976ec32bc5f,bridge,hard,Brown State Fishing Lake is in a country that has a population of how many inhabitants ?,"Brown County, Kansas | Brown State Fishing Lake",2,0,1,"{""Brown County, Kansas"":9,""Brown State Fishing Lake"":1}","{""Brown County, Kansas"":2,""Brown State Fishing Lake"":1}",rescue
pooled,5a75e05c55429976ec32bc5f,bridge,hard,Brown State Fishing Lake is in a country that has a population of how many inhabitants ?,"Brown County, Kansas | Brown State Fishing Lake",5,0,1,"{""Brown County, Kansas"":9,""Brown State Fishing Lake"":1}","{""Brown County, Kansas"":2,""Brown State Fishing Lake"":1}",rescue
pooled,5a75e05c55429976ec32bc5f,bridge,hard,Brown State Fishing Lake is in a country that has a population of how many inhabitants ?,"Brown County, Kansas | Brown State Fishing Lake",10,1,1,"{""Brown County, Kansas"":9,""Brown State Fishing Lake"":1}","{""Brown County, Kansas"":2,""Brown State Fishing Lake"":1}",stable_hit
pooled,5a75f0ea5542994ccc91866c,bridge,hard,What major truck road is located in Backford Cross?,A41 road | Backford Cross,2,0,0,"{""A41 road"":9,""Backford Cross"":1}","{""A41 road"":6,""Backford Cross"":1}",stable_miss
pooled,5a75f0ea5542994ccc91866c,bridge,hard,What major truck road is located in Backford Cross?,A41 road | Backford Cross,5,0,0,"{""A41 road"":9,""Backford Cross"":1}","{""A41 road"":6,""Backford Cross"":1}",stable_miss
pooled,5a75f0ea5542994ccc91866c,bridge,hard,What major truck road is located in Backford Cross?,A41 road | Backford Cross,10,1,1,"{""A41 road"":9,""Backford Cross"":1}","{""A41 road"":6,""Backford Cross"":1}",stable_hit
pooled,5a75f79555429976ec32bcca,bridge,hard,"Considered the strongest recorded tropical cyclone, which cyclone had a film made about it in 2007?",1999 Odisha cyclone | Kathantara,2,0,0,"{""1999 Odisha cyclone"":4,""Kathantara"":11}","{""1999 Odisha cyclone"":3,""Kathantara"":9}",stable_miss
pooled,5a75f79555429976ec32bcca,bridge,hard,"Considered the strongest recorded tropical cyclone, which cyclone had a film made about it in 2007?",1999 Odisha cyclone | Kathantara,5,0,0,"{""1999 Odisha cyclone"":4,""Kathantara"":11}","{""1999 Odisha cyclone"":3,""Kathantara"":9}",stable_miss
pooled,5a75f79555429976ec32bcca,bridge,hard,"Considered the strongest recorded tropical cyclone, which cyclone had a film made about it in 2007?",1999 Odisha cyclone | Kathantara,10,0,1,"{""1999 Odisha cyclone"":4,""Kathantara"":11}","{""1999 Odisha cyclone"":3,""Kathantara"":9}",rescue
pooled,5a760ab65542994ccc918697,bridge,hard,Alfred Balk served as the secretary of the Committee on the Employment of Minority Groups in the News Media under which United States Vice President?,Alfred Balk | Nelson Rockefeller,2,0,0,"{""Alfred Balk"":1,""Nelson Rockefeller"":36}","{""Alfred Balk"":1,""Nelson Rockefeller"":4}",stable_miss
pooled,5a760ab65542994ccc918697,bridge,hard,Alfred Balk served as the secretary of the Committee on the Employment of Minority Groups in the News Media under which United States Vice President?,Alfred Balk | Nelson Rockefeller,5,0,1,"{""Alfred Balk"":1,""Nelson Rockefeller"":36}","{""Alfred Balk"":1,""Nelson Rockefeller"":4}",rescue
pooled,5a760ab65542994ccc918697,bridge,hard,Alfred Balk served as the secretary of the Committee on the Employment of Minority Groups in the News Media under which United States Vice President?,Alfred Balk | Nelson Rockefeller,10,0,1,"{""Alfred Balk"":1,""Nelson Rockefeller"":36}","{""Alfred Balk"":1,""Nelson Rockefeller"":4}",rescue
