example_id,observed_signal,setting,criterion,k,question_type,level,question,gold_titles,bm25_top5,dense_top5,bm25_hit,dense_hit,bm25_gold_found,n_gold
5a7caae75542996dd594b971,bm25_no_gold_in_top2,pooled,full_evidence_recall,5,bridge,hard,"What, known as AAS, is commonly used in bodybuilding?",Anabolic steroid | Steroid use in Australia,Belling-Lee connector | Pox (drink) | Docking (animal) | Methyltestosterone | Tensile testing,Anabolic steroid | Methyltestosterone | Steroid use in Australia | Metandienone | Rabid Neurosis,0,1,0,2
5a83880e554299123d8c214e,bm25_no_gold_in_top2,pooled,full_evidence_recall,5,bridge,hard,Suicide's 1977 released album features a song based on what brand's comic character?,Ghost Rider (Suicide song) | Suicide (1977 album),Deadwood (song) | A Boy in a Man's World | Perfect Day (Jim Jones song) | Live at Winterland 1978 (Avengers album) | Rockin' All Over the World,Suicide (1977 album) | Ghost Rider (Suicide song) | The Suicide File | Suicide Squad (film) | Disco Bill,0,1,0,2
5a874ce15542996432c57256,bm25_no_gold_in_top2,pooled,full_evidence_recall,5,bridge,hard,Where was the person born who was recognized by MIAL and is an American soprano?,Leontyne Price | Mississippi Institute of Arts and Letters,Janna Allen | Krajmir | Robin Cole | Fred H. Hale Sr. | Les Irwin,Leontyne Price | The Sopranos | Myrna Sharlow | Marissa Perry | Ottavio Alessi,0,0,0,2
5ab28019554299722f9b4d51,bm25_no_gold_in_top2,pooled,full_evidence_recall,5,bridge,hard,What amount was the settlement that the character from the Son of al Quada got in 2017?,Omar Khadr | Son of al Qaeda,Al Utouriya | Damian Wayne | Mana Al Otaiba | List of largest pharmaceutical settlements | Mick Carter,Son of al Qaeda | Al Utouriya | Kasia Al Thani | Reed A. Albee | List of largest pharmaceutical settlements,0,0,0,2
5ac2ffbd554299677310267b,bm25_no_gold_in_top2,pooled,full_evidence_recall,5,bridge,hard,SuperMansion starred the actress who had a recurring role as whom on Workaholics?,Jillian Bell | SuperMansion,Jo Marie Payton | Jenna Dewan | Hilarie Burton | Mitch Pileggi | Helen Modern,SuperMansion | Ashley Cheadle | Wonder Woman (2017 film) | Batman v Superman: Dawn of Justice | Gal Gadot,0,0,0,2
5a8d93ad554299653c1aa13d,bm25_no_gold_in_top2,pooled,full_evidence_recall,5,comparison,hard,"Who was also an actor, Serri or John Fogerty?",John Fogerty | Serri (singer),John Ince (actor) | Sal Mineo | Ralph Ince | John Waters | Jester,John Fogerty (engineer) | Joseph Fogerty Sr. | Jacques Sernas | John Lithgow | John Waters,0,0,0,2
5ab72a025542992aa3b8c7b8,bm25_no_gold_in_top2,pooled,full_evidence_recall,5,comparison,hard,"""A Summer in the Cage"" and ""American Hardcore"" are both what kind of film?",A Summer in the Cage | American Hardcore (film),All Ages: The Boston Hardcore Film | Treehouse (game) | Libocedrus | Summer Olympic Games | Murder of Grace Brown,A Summer in the Cage | Wet Hot American Summer (series) | American Hardcore (film) | Planet Terror | Punk's Not Dead (2007 film),0,1,0,2
5a73a7c755429978a71e9068,bm25_no_gold_in_top2,pooled,full_evidence_recall,5,bridge,hard,What american actress/singer born in 1956 recorded the song Something there for beauty and the beast?,Paige O'Hara | Something There,The Longer We Make Love | Something for the Rest of Us | Timbiriche VIII &amp; IX | Chattahoochee (song) | Cowboys and Angels (Dustin Lynch song),Something There | Paige O'Hara | Anna Simpson | Evermore (Beauty and the Beast song) | Beauty and the Beast (Disney song),0,1,1,2
5a75f79555429976ec32bcca,bm25_no_gold_in_top2,pooled,full_evidence_recall,5,bridge,hard,"Considered the strongest recorded tropical cyclone, which cyclone had a film made about it in 2007?",1999 Odisha cyclone | Kathantara,Cyclone Anne | Cyclone Gonu | Cyclone Kesiny | Cyclone Hondo | Cyclone Esau,2002–03 Australian region cyclone season | Cyclone Kesiny | Cyclone Donna | 1999 Odisha cyclone | Cyclone Gonu,0,0,1,2
5a77724455429972597f153e,bm25_no_gold_in_top2,pooled,full_evidence_recall,5,bridge,hard,What race track in the midwest hosts a 500 mile race eavery May?,1957 Indianapolis 500 | Indianapolis Motor Speedway,Carolina Dodge Dealers 400 | Allison Transmission | Subway 400 | 1964 Armstrong 500 | Louis Schwitzer Award,1957 Indianapolis 500 | Indianapolis Motor Speedway | Lean Horse Ultramarathon | Subway 400 | Carolina Dodge Dealers 400,0,1,1,2
5a77cb5e55429967ab1052a7,bm25_no_gold_in_top2,pooled,full_evidence_recall,5,bridge,hard,"The voice of Homer Simpson also voices what alien character in the television series ""The Simpsons""?",Dan Castellaneta | Kang and Kodos,Hubert Gagnon | Grampa Simpson | Dan Castellaneta | Santa's Little Helper | Ned Flanders,Dan Castellaneta | Hubert Gagnon | Ned Flanders | Krusty the Clown | Kang and Kodos,0,1,1,2
5a78db8055429970f5fffdb2,bm25_no_gold_in_top2,pooled,full_evidence_recall,5,bridge,hard,"Flyboys stars which actor who was nominated for an Academy Award for ""127 Hours""?",Flyboys (film) | James Franco,Danny Boyle | Divorce Italian Style | Agee (film) | James Franco | Treat Williams,Flyboys (film) | 127 Hours | List of accolades received by 127 Hours | John Lithgow | Flying with Music,0,0,1,2
5a7cf29255429909bec768b8,bm25_no_gold_in_top2,pooled,full_evidence_recall,5,bridge,hard,The Ingerophrynus gollum is named after a character in a book that sold how many copies?,Ingerophrynus gollum | The Lord of the Rings,Ingerophrynus | Gollum | Gollum (genus) | Ingerophrynus gollum | Gollum: How We Made Movie Magic,Ingerophrynus gollum | Ingerophrynus | Gollum | Gollum (genus) | Gollum: How We Made Movie Magic,0,0,1,2
5a7d61775542991319bc93b9,bm25_no_gold_in_top2,pooled,full_evidence_recall,5,bridge,hard,"During Siege of Bharatpur, which Commander-in-Chief of Ireland and Commander-in-Chief of India contributed to the storming of the castle?","Siege of Bharatpur | Stapleton Cotton, 1st Viscount Combermere","Commander-in-Chief, India | Claude Auchinleck | Siege of Bharatpur (1805) | Asiatic-Pacific Theater | Fort Diu","Siege of Bharatpur | Siege of Bharatpur (1805) | Stapleton Cotton, 1st Viscount Combermere | Lohagarh Fort | Commander-in-Chief, India",0,1,1,2
